proportion,elev,sloped,near_bld,bld_den,clust_dist,rdens,sw,tpi,bld_disp,PLAND1,PLAND3,CONNECT1,CONNECT3,log_proportion,log_bld_den,log_clust_dist
0.027777777777777776,135.319444444444,0.802687416666667,43.5931388888889,1.26,253.61,56.88,-0.024721994,6,0.543316075,699.244,243.118,74.603,58.712,-3.58351893845611,0.23111172096338664,5.535797653962299
0.00772626931567329,6.88300220750552,0.00254448233995585,39.1375928300221,1.69,16.95,112.38,0.27576851,3,0.673452311,24.326,818.786,0.915,128.205,-4.863129156987666,0.5247285289349821,2.830267833826459
0.011627906976744186,6,0,44.0363625,1.42,366.72,124.4,0.260584153,3,0.505114759,50.131,874.907,15.704,166.667,-4.454347296253507,0.35065687161316933,5.9045986140863205
0.3333333333333333,474.777777777778,1.84278222222222,45.6771333333333,0.69,181.75,33.32,-0.150998733,1,0.490807382,902.235,61.064,327.273,111.111,-1.0986122886681098,-0.37106368139083207,5.202632116413628
0.044444444444444446,1477.75555555556,2.45593486666667,51.0138666666667,0.99,14.62,86.88,-0.138565101,1,0.582838816,999.967,0.0033,0,0,-3.1135153092103742,-0.01005033585350145,2.6823904543216326
0.2727272727272727,509.727272727273,0.962799,23.9351181818182,1.38,51.16,19.53,-0.514040455,3,0.525499198,874.435,16.669,285.714,0,-1.2992829841302609,0.3220834991691132,3.934957976710642
0.2857142857142857,2331.85714285714,2.59608214285714,67.6391785714286,0.71,38.17,51.05,-0.200454436,1,0.573326467,943.465,53.353,100,116.667,-1.252762968495368,-0.342490308946776,3.6420498667571386
0.039473684210526314,2244.34210526316,5.73889413157895,31.0704286842105,1.57,107.13,135.7,-0.009207203,1,0.653302793,755.552,24.396,90.909,66.667,-3.2321210516182215,0.45107561936021673,4.6740430502744665
0.047619047619047616,2238.17857142857,4.58449933333333,25.480936547619,2.83,33.84,98.65,0.004061579,6,0.649640464,764.929,232.654,13.834,57.143,-3.044522437723423,1.0402767116551463,3.521643534738023
0.1388888888888889,2274.30555555556,5.23725425,37.6100428888889,1.73,33.84,106.76,0.049732456,1,0.597144663,799.118,200.432,116.402,57.895,-1.9740810260220096,0.5481214085096876,3.521643534738023
