instnm,conference,state,year,full_time_enrollment,inflation_adjusted_subsidy,inflation_adjusted_athletic_expenses,inflation_adjusted_athletic_revenues,instate_tuition
Miami University-Oxford,Mid-American Conference,Ohio,2011,16038,19298445,28617682,28373851,13213
Miami University-Oxford,Mid-American Conference,Ohio,2010,16038,18545542,27735611,28159744,12786
Northern Illinois University,Mid-American Conference,Illinois,2014,16053,18339413,26130115,27007053,11992
Northern Illinois University,Mid-American Conference,Illinois,2013,16053,17770370,25578952,26555055,12300
Northern Illinois University,Mid-American Conference,Illinois,2012,16053,17542396,24609993,24239385,11484
Northern Illinois University,Mid-American Conference,Illinois,2011,16053,17748017,24181165,25618629,11014
Northern Illinois University,Mid-American Conference,Illinois,2010,16053,17472537,23721745,24059471,10355
Ohio University-Main Campus,Mid-American Conference,Ohio,2014,19449,18453771,27298719,27720000,10602
Ohio University-Main Campus,Mid-American Conference,Ohio,2013,19449,18264787,27331975,27572161,10446
Ohio University-Main Campus,Mid-American Conference,Ohio,2012,19449,21317682,25171485,29567950,10282
Ohio University-Main Campus,Mid-American Conference,Ohio,2011,19449,20768479,24231551,27020779,9936
Ohio University-Main Campus,Mid-American Conference,Ohio,2010,19449,20271584,24779212,25895717,9603
University of Toledo,Mid-American Conference,Ohio,2014,16179,12940709,26304331,22559175,9463
University of Toledo,Mid-American Conference,Ohio,2013,16179,11275401,23920569,23313889,9379
University of Toledo,Mid-American Conference,Ohio,2012,16179,11517943,23081747,21930761,9192
University of Toledo,Mid-American Conference,Ohio,2011,16179,10741813,21931549,20671609,8926
University of Toledo,Mid-American Conference,Ohio,2010,16179,10641959,21696242,21628276,8629
Western Michigan University,Mid-American Conference,Michigan,2014,17042,20027951,30113764,28927072,10685
Western Michigan University,Mid-American Conference,Michigan,2013,17042,21500053,28952762,28946758,10355
Western Michigan University,Mid-American Conference,Michigan,2012,17042,20421979,28686877,28772255,9982
Western Michigan University,Mid-American Conference,Michigan,2011,17042,19734626,26957258,27187820,9606
Western Michigan University,Mid-American Conference,Michigan,2010,17042,18239501,25167184,25739125,9006
Coppin State University,Mid-Eastern Athletic Conference,Maryland,2014,2384,2467870,3953265,3304284,6132
Coppin State University,Mid-Eastern Athletic Conference,Maryland,2013,2384,2638653,3719522,3484341,6252
Coppin State University,Mid-Eastern Athletic Conference,Maryland,2012,2384,2732442,3613192,3436445,5720
Coppin State University,Mid-Eastern Athletic Conference,Maryland,2011,2384,2957594,4337781,3696959,5491
Coppin State University,Mid-Eastern Athletic Conference,Maryland,2010,2384,2496045,3985231,3307291,5382
Morgan State University,Mid-Eastern Athletic Conference,Maryland,2014,6101,7753009,10187400,9275151,7378
Morgan State University,Mid-Eastern Athletic Conference,Maryland,2013,6101,7958050,10099350,9404053,7218
Morgan State University,Mid-Eastern Athletic Conference,Maryland,2012,6101,8479776,10186067,9730951,7012
Morgan State University,Mid-Eastern Athletic Conference,Maryland,2011,6101,8591197,9999028,10502466,6896
Morgan State University,Mid-Eastern Athletic Conference,Maryland,2010,6101,8062602,9748327,9538860,6727
Norfolk State University,Mid-Eastern Athletic Conference,Virginia,2014,5428,9613812,12823816,12134981,7552
Norfolk State University,Mid-Eastern Athletic Conference,Virginia,2013,5428,10114072,14311621,12590040,7226
Norfolk State University,Mid-Eastern Athletic Conference,Virginia,2012,5428,11714302,12028562,13619024,6860
Norfolk State University,Mid-Eastern Athletic Conference,Virginia,2011,5428,10675587,12628512,12864209,6700
Norfolk State University,Mid-Eastern Athletic Conference,Virginia,2010,5428,11705304,10200352,13417981,6227
North Carolina A & T State University,Mid-Eastern Athletic Conference,North Carolina,2014,9086,8398737,11808863,11383506,5642
North Carolina A & T State University,Mid-Eastern Athletic Conference,North Carolina,2013,9086,9446102,12268360,12677124,5315
North Carolina A & T State University,Mid-Eastern Athletic Conference,North Carolina,2012,9086,8081908,10850462,11529969,5059
North Carolina A & T State University,Mid-Eastern Athletic Conference,North Carolina,2011,9086,6047437,10187169,9803253,4668
North Carolina A & T State University,Mid-Eastern Athletic Conference,North Carolina,2010,9086,5886785,9737128,9650856,4416
North Carolina Central University,Mid-Eastern Athletic Conference,North Carolina,2014,6550,7718865,10703763,10629060,5525
North Carolina Central University,Mid-Eastern Athletic Conference,North Carolina,2013,6550,6958380,9250611,9273153,5444
North Carolina Central University,Mid-Eastern Athletic Conference,North Carolina,2012,6550,6461730,9185813,8815847,5119
North Carolina Central University,Mid-Eastern Athletic Conference,North Carolina,2011,6550,6711223,9259155,9304800,4720
North Carolina Central University,Mid-Eastern Athletic Conference,North Carolina,2010,6550,5023899,7673695,7592507,4479
Savannah State University,Mid-Eastern Athletic Conference,Georgia,2014,4221,4042460,6345251,6033864,6474
Savannah State University,Mid-Eastern Athletic Conference,Georgia,2013,4221,5738870,6667172,7589808,6340
Savannah State University,Mid-Eastern Athletic Conference,Georgia,2012,4221,5702614,6239054,7159379,6192
Savannah State University,Mid-Eastern Athletic Conference,Georgia,2011,4221,5539420,6803292,7079699,6032
Savannah State University,Mid-Eastern Athletic Conference,Georgia,2010,4221,2997979,3438838,4381713,5624
South Carolina State University,Mid-Eastern Athletic Conference,South Carolina,2014,2945,6635852,9816895,9816895,10088
South Carolina State University,Mid-Eastern Athletic Conference,South Carolina,2013,2945,6886068,10250521,10247814,9776
South Carolina State University,Mid-Eastern Athletic Conference,South Carolina,2012,2945,7165017,10577461,10593439,9258
South Carolina State University,Mid-Eastern Athletic Conference,South Carolina,2011,2945,7927183,10502172,10502172,9258
South Carolina State University,Mid-Eastern Athletic Conference,South Carolina,2010,2945,8241077,11025596,11025596,8869
Illinois State University,Missouri Valley Conference,Illinois,2014,17864,15112785,21339412,21587420,12830
Illinois State University,Missouri Valley Conference,Illinois,2013,17864,12887333,19787592,19553938,12573
Illinois State University,Missouri Valley Conference,Illinois,2012,17864,12764667,19214309,18276422,12318
Illinois State University,Missouri Valley Conference,Illinois,2011,17864,11621627,17613792,17737317,11832
Illinois State University,Missouri Valley Conference,Illinois,2010,17864,11173698,17248934,16879423,11077
Indiana State University,Missouri Valley Conference,Indiana,2014,10068,10075797,13727928,13847014,8416
Indiana State University,Missouri Valley Conference,Indiana,2013,10068,9625817,12720073,12905554,8256
Indiana State University,Missouri Valley Conference,Indiana,2012,10068,9922805,13679701,13509088,8098
Indiana State University,Missouri Valley Conference,Indiana,2011,10068,8809164,12255590,12440639,7982
Indiana State University,Missouri Valley Conference,Indiana,2010,10068,8241009,11558080,11463130,7714
Missouri State University-Springfield,Missouri Valley Conference,Missouri,2014,15407,8965530,15105167,15105167,7008
Missouri State University-Springfield,Missouri Valley Conference,Missouri,2013,15407,8546898,15669591,15669591,6908
Missouri State University-Springfield,Missouri Valley Conference,Missouri,2012,15407,5270065,14191517,14191517,6882
Missouri State University-Springfield,Missouri Valley Conference,Missouri,2011,15407,5280808,14671422,14671422,6598
University of Northern Iowa,Missouri Valley Conference,Iowa,2014,9968,8464481,18103940,16966524,7749
University of Northern Iowa,Missouri Valley Conference,Iowa,2013,9968,8084918,16960364,17097506,7685
University of Northern Iowa,Missouri Valley Conference,Iowa,2012,9968,8320648,17418721,17036165,7635
University of Northern Iowa,Missouri Valley Conference,Iowa,2011,9968,8643778,17005121,18255747,7350
University of Northern Iowa,Missouri Valley Conference,Iowa,2010,9968,8400734,17116573,17948948,7008
Southern Illinois University-Carbondale,Missouri Valley Conference,Illinois,2014,14478,13651984,25010146,21847326,12251
Southern Illinois University-Carbondale,Missouri Valley Conference,Illinois,2013,14478,13282336,23268129,20388734,12093
Southern Illinois University-Carbondale,Missouri Valley Conference,Illinois,2012,14478,13985366,21391517,21211062,11528
Southern Illinois University-Carbondale,Missouri Valley Conference,Illinois,2011,14478,14811560,25036714,22970620,11038
Southern Illinois University-Carbondale,Missouri Valley Conference,Illinois,2010,14478,15284505,24233917,25140503,10467
Wichita State University,Missouri Valley Conference,Kansas,2014,10184,7514236,23514736,24481122,7265
Wichita State University,Missouri Valley Conference,Kansas,2013,10184,6594122,24404529,23909555,6926
Wichita State University,Missouri Valley Conference,Kansas,2012,10184,7131010,22238890,23181277,6442
Wichita State University,Missouri Valley Conference,Kansas,2011,10184,6821374,21142452,22398177,6191
Wichita State University,Missouri Valley Conference,Kansas,2010,10184,7158790,20257327,21494473,5890
Boise State University,Mountain West Conference,Idaho,2014,13264,11799384,45680801,45706336,6641
Boise State University,Mountain West Conference,Idaho,2013,13264,11626450,43779629,43652460,6292
Boise State University,Mountain West Conference,Idaho,2012,13264,11179973,44522027,44799107,5884
Boise State University,Mountain West Conference,Idaho,2011,13264,11166310,39563478,39809008,5566
Boise State University,Mountain West Conference,Idaho,2010,13264,11544095,39706663,40006385,5300
California State University-Fresno,Mountain West Conference,California,2014,19511,13101250,36436560,36038183,6298
California State University-Fresno,Mountain West Conference,California,2013,19511,13186778,33422576,34114744,6286
California State University-Fresno,Mountain West Conference,California,2012,19511,13449186,31118234,31684749,6762
California State University-Fresno,Mountain West Conference,California,2011,19511,8910280,30594515,32028300,6123
California State University-Fresno,Mountain West Conference,California,2010,19511,8129518,28912056,28866709,4879
Colorado State University-Fort Collins,Mountain West Conference,Colorado,2014,23371,20029364,36944157,38739665,9897
Colorado State University-Fort Collins,Mountain West Conference,Colorado,2013,23371,18216843,35073400,35183805,9313
Colorado State University-Fort Collins,Mountain West Conference,Colorado,2012,23371,15388794,31104151,31765947,8649
Colorado State University-Fort Collins,Mountain West Conference,Colorado,2011,23371,14988784,27528095,31160827,8042
Colorado State University-Fort Collins,Mountain West Conference,Colorado,2010,23371,14455817,27465411,28762417,6985
University of Nevada-Las Vegas,Mountain West Conference,Nevada,2014,18795,19783274,44467342,44057560,6590
University of Nevada-Las Vegas,Mountain West Conference,Nevada,2013,18795,36570621,64389193,65239686,6570
University of Nevada-Las Vegas,Mountain West Conference,Nevada,2012,18795,33616017,60526696,60645149,6585
University of Nevada-Las Vegas,Mountain West Conference,Nevada,2011,18795,34258211,64241400,63169613,6304
University of Nevada-Las Vegas,Mountain West Conference,Nevada,2010,18795,36909421,64065712,61198583,5465
University of Nevada-Reno,Mountain West Conference,Nevada,2014,14208,10685143,27734777,27324338,6639
University of Nevada-Reno,Mountain West Conference,Nevada,2013,14208,11023180,27581432,26927333,6603
University of Nevada-Reno,Mountain West Conference,Nevada,2012,14208,9126272,22870900,22205133,6603
University of Nevada-Reno,Mountain West Conference,Nevada,2011,14208,10626065,24519035,24031441,6176
University of Nevada-Reno,Mountain West Conference,Nevada,2010,14208,10506880,25985471,25084578,5561
University of New Mexico-Main Campus,Mountain West Conference,New Mexico,2014,20668,17239472,47223319,47199769,6447
University of New Mexico-Main Campus,Mountain West Conference,New Mexico,2013,20668,15515921,45660102,44845329,6447
University of New Mexico-Main Campus,Mountain West Conference,New Mexico,2012,20668,18647670,45827237,44637887,6049
University of New Mexico-Main Campus,Mountain West Conference,New Mexico,2011,20668,17616734,42889144,42739554,5809
University of New Mexico-Main Campus,Mountain West Conference,New Mexico,2010,20668,14656979,40438519,40437937,5506
San Jose State University,Mountain West Conference,California,2014,24196,18276682,28065957,29666940,7323
San Jose State University,Mountain West Conference,California,2013,24196,17771154,24715557,26145245,7303
San Jose State University,Mountain West Conference,California,2012,24196,16405211,24240067,24666618,7427
San Jose State University,Mountain West Conference,California,2011,24196,12059804,20846646,20009267,6828
San Jose State University,Mountain West Conference,California,2010,24196,12112609,22515763,22025440,5370
Utah State University,Mountain West Conference,Utah,2014,16436,14179545,25707325,25152919,6384
Utah State University,Mountain West Conference,Utah,2013,16436,13844224,24580830,23951034,6185
Utah State University,Mountain West Conference,Utah,2012,16436,13189712,22240042,21719732,5931
Utah State University,Mountain West Conference,Utah,2011,16436,15496620,20899730,24164532,5563
Utah State University,Mountain West Conference,Utah,2010,16436,13295649,20954180,20800129,5150
University of Wyoming,Mountain West Conference,Wyoming,2014,9743,16097463,32966973,32336367,4646
University of Wyoming,Mountain West Conference,Wyoming,2013,9743,16054280,30066826,29981033,4404
University of Wyoming,Mountain West Conference,Wyoming,2012,9743,15705932,31429004,31213182,4278
University of Wyoming,Mountain West Conference,Wyoming,2011,9743,14832468,29492770,29255728,4125
University of Wyoming,Mountain West Conference,Wyoming,2010,9743,15110982,28732593,29225186,3927
Central Connecticut State University,Northeast Conference,Connecticut,2014,8208,12959383,14731018,14731018,8877
Central Connecticut State University,Northeast Conference,Connecticut,2013,8208,12557755,14448877,14596160,8706
Central Connecticut State University,Northeast Conference,Connecticut,2012,8208,12210504,13886446,13899962,8321
Central Connecticut State University,Northeast Conference,Connecticut,2011,8208,12359352,13535570,14331729,8055
Central Connecticut State University,Northeast Conference,Connecticut,2010,8208,11860540,12744040,13297470,7861
Austin Peay State University,Ohio Valley Conference,Tennessee,2014,7150,7954748,12698929,12091296,7462
Austin Peay State University,Ohio Valley Conference,Tennessee,2013,7150,7421859,9934609,10640565,7158
Austin Peay State University,Ohio Valley Conference,Tennessee,2012,7150,7193826,9923311,10286102,6918
Austin Peay State University,Ohio Valley Conference,Tennessee,2011,7150,6732220,9389226,10036986,6690
Austin Peay State University,Ohio Valley Conference,Tennessee,2010,7150,6353156,7781164,8022467,6228
Eastern Illinois University,Ohio Valley Conference,Illinois,2014,8013,9524251,13074791,13275858,11108
Eastern Illinois University,Ohio Valley Conference,Illinois,2013,8013,9677742,13440660,13344274,11144
Eastern Illinois University,Ohio Valley Conference,Illinois,2012,8013,9547458,13171146,13302034,10930
Eastern Illinois University,Ohio Valley Conference,Illinois,2010,8013,9156161,12933765,12933765,9987
Eastern Kentucky University,Ohio Valley Conference,Kentucky,2014,11651,10432816,13033263,13033265,8060
Eastern Kentucky University,Ohio Valley Conference,Kentucky,2013,11651,9483653,12073166,12073166,7536
Eastern Kentucky University,Ohio Valley Conference,Kentucky,2012,11651,10818890,13359385,13359385,7320
Eastern Kentucky University,Ohio Valley Conference,Kentucky,2011,11651,10875606,13192611,13192611,6960
Eastern Kentucky University,Ohio Valley Conference,Kentucky,2010,11651,10676557,13334476,13334476,6624
Morehead State University,Ohio Valley Conference,Kentucky,2014,6472,9341671,10833587,10833587,7866
Morehead State University,Ohio Valley Conference,Kentucky,2013,6472,8777808,10307120,10307120,7498
Morehead State University,Ohio Valley Conference,Kentucky,2012,6472,9285308,10700797,10700797,7284
Morehead State University,Ohio Valley Conference,Kentucky,2011,6472,8441444,9885548,9885548,6942
Morehead State University,Ohio Valley Conference,Kentucky,2010,6472,7935959,9330439,9330439,6492
Murray State University,Ohio Valley Conference,Kentucky,2014,7838,11236842,15673736,17217807,7392
Murray State University,Ohio Valley Conference,Kentucky,2013,7838,11050286,15277983,15543294,7044
Murray State University,Ohio Valley Conference,Kentucky,2012,7838,10628321,14900814,14990569,6840
Murray State University,Ohio Valley Conference,Kentucky,2011,7838,10397227,14140073,14406565,6576
Murray State University,Ohio Valley Conference,Kentucky,2010,7838,11071824,14154794,14366632,6264
Southeast Missouri State University,Ohio Valley Conference,Missouri,2014,8332,8220874,11257184,11173471,6938
Southeast Missouri State University,Ohio Valley Conference,Missouri,2013,8332,7364569,10158874,10051803,6862
Southeast Missouri State University,Ohio Valley Conference,Missouri,2012,8332,7449350,9745633,10207927,6750
Southeast Missouri State University,Ohio Valley Conference,Missouri,2011,8332,7106861,9772403,9749968,6555
Southeast Missouri State University,Ohio Valley Conference,Missouri,2010,8332,7106170,9506948,9511840,6255
Southern Illinois University-Edwardsville,Ohio Valley Conference,Illinois,2014,10759,6744809,8289619,8515931,9738
Southern Illinois University-Edwardsville,Ohio Valley Conference,Illinois,2013,10759,6557172,7805600,8109248,9666
Southern Illinois University-Edwardsville,Ohio Valley Conference,Illinois,2012,10759,6913039,8578485,8078972,9251
Southern Illinois University-Edwardsville,Ohio Valley Conference,Illinois,2011,10759,6642144,7819816,7610817,8865
Southern Illinois University-Edwardsville,Ohio Valley Conference,Illinois,2010,10759,6262179,6554165,7406430,8401
The University of Tennessee-Martin,Ohio Valley Conference,Tennessee,2014,5988,7234518,9709378,9709378,8024
The University of Tennessee-Martin,Ohio Valley Conference,Tennessee,2013,5988,6926672,9190176,9190176,7507
The University of Tennessee-Martin,Ohio Valley Conference,Tennessee,2012,5988,8286410,10546767,10546767,7049
The University of Tennessee-Martin,Ohio Valley Conference,Tennessee,2011,5988,7965350,10103460,10103460,6718
The University of Tennessee-Martin,Ohio Valley Conference,Tennessee,2010,5988,7839364,9541835,9541835,6190
Tennessee Technological University,Ohio Valley Conference,Tennessee,2014,9521,11179898,13634913,14562733,8017
Tennessee Technological University,Ohio Valley Conference,Tennessee,2013,9521,10926582,13227074,14654120,7095
Tennessee Technological University,Ohio Valley Conference,Tennessee,2012,9521,10243670,12433406,13625637,6996
Tennessee Technological University,Ohio Valley Conference,Tennessee,2011,9521,8527357,11351921,11351921,6698
Tennessee Technological University,Ohio Valley Conference,Tennessee,2010,9521,7595164,10278187,10278187,5858
Citadel Military College of South Carolina,Southern Conference,South Carolina,2014,2668,9327235,13613427,14144606,12568
Citadel Military College of South Carolina,Southern Conference,South Carolina,2013,2668,9363406,13396363,13543970,12237
Citadel Military College of South Carolina,Southern Conference,South Carolina,2012,2668,9201409,13242905,13244841,11772
Citadel Military College of South Carolina,Southern Conference,South Carolina,2011,2668,8905207,12959113,13277846,10216
Citadel Military College of South Carolina,Southern Conference,South Carolina,2010,2668,8239657,12583168,12860531,9871
East Tennessee State University,Southern Conference,Tennessee,2014,11577,14071113,14808421,17088793,7985
East Tennessee State University,Southern Conference,Tennessee,2013,11577,11470174,14937402,14700998,7543
East Tennessee State University,Southern Conference,Tennessee,2012,11577,10447275,12839128,12936745,6997
East Tennessee State University,Southern Conference,Tennessee,2011,11577,10163108,12126199,12734111,6529
East Tennessee State University,Southern Conference,Tennessee,2010,11577,9197711,11239090,11859778,6003
University of North Carolina at Greensboro,Southern Conference,North Carolina,2014,13858,11860371,14509390,14646547,6385
University of North Carolina at Greensboro,Southern Conference,North Carolina,2013,13858,12474980,15135057,14837437,6322
University of North Carolina at Greensboro,Southern Conference,North Carolina,2012,13858,11797397,13636782,14252093,6086
University of North Carolina at Greensboro,Southern Conference,North Carolina,2011,13858,11256943,14557056,13810793,5493
University of North Carolina at Greensboro,Southern Conference,North Carolina,2010,13858,10529155,12698791,12667643,4520
The University of Tennessee-Chattanooga,Southern Conference,Tennessee,2014,9676,11667988,16046057,16046057,8138
The University of Tennessee-Chattanooga,Southern Conference,Tennessee,2013,9676,11175468,14945727,14945727,7554
The University of Tennessee-Chattanooga,Southern Conference,Tennessee,2012,9676,11529983,15582698,15582698,7212
The University of Tennessee-Chattanooga,Southern Conference,Tennessee,2011,9676,10803346,14610971,14610971,6618
The University of Tennessee-Chattanooga,Southern Conference,Tennessee,2010,9676,10264837,14206892,14206892,6062
Western Carolina University,Southern Conference,North Carolina,2014,7750,7581603,11466187,11436428,6531
Western Carolina University,Southern Conference,North Carolina,2013,7750,7758415,11515454,11371012,6096
Western Carolina University,Southern Conference,North Carolina,2012,7750,8556387,11968780,11434492,6139
Western Carolina University,Southern Conference,North Carolina,2011,7750,6015599,9195345,9112402,5250
Western Carolina University,Southern Conference,North Carolina,2010,7750,6101857,9202536,8726438,5124
University of Central Arkansas,Southland Conference,Arkansas,2014,9045,8760294,11498696,11750081,7889
University of Central Arkansas,Southland Conference,Arkansas,2013,9045,7757015,10600216,10891298,7595
University of Central Arkansas,Southland Conference,Arkansas,2012,9045,7948169,10029958,10146485,7333
University of Central Arkansas,Southland Conference,Arkansas,2011,9045,8179453,9638148,9805393,7183
University of Central Arkansas,Southland Conference,Arkansas,2010,9045,7460796,8937334,9086642,6908
Lamar University,Southland Conference,Texas,2014,7356,12427089,15880006,16147857,9361
Lamar University,Southland Conference,Texas,2013,7356,12454499,15411044,15588623,9011
Lamar University,Southland Conference,Texas,2012,7356,11439091,14840706,14840692,8544
Lamar University,Southland Conference,Texas,2011,7356,10119970,14153677,14153666,7630
Lamar University,Southland Conference,Texas,2010,7356,8974241,10912306,11049523,6955
McNeese State University,Southland Conference,Louisiana,2014,6307,5130197,10911542,10926299,6334
McNeese State University,Southland Conference,Louisiana,2013,6307,4542833,10423882,9814237,5716
McNeese State University,Southland Conference,Louisiana,2012,6307,4687643,10457028,10050233,5104
McNeese State University,Southland Conference,Louisiana,2011,6307,4599738,10126646,10435005,4353
McNeese State University,Southland Conference,Louisiana,2010,6307,4048892,8547629,8362602,3957
University of New Orleans,Southland Conference,Louisiana,2014,6548,1725273,5365672,5224996,7482
University of New Orleans,Southland Conference,Louisiana,2013,6548,2991456,4314819,4314820,6668
University of New Orleans,Southland Conference,Louisiana,2012,6548,2257064,3047608,3197544,5922
University of New Orleans,Southland Conference,Louisiana,2011,6548,2455998,2841906,3283868,5257
University of New Orleans,Southland Conference,Louisiana,2010,6548,2912561,4318739,4288479,4811
Nicholls State University,Southland Conference,Louisiana,2014,4947,4718258,8102040,8113231,7236
Nicholls State University,Southland Conference,Louisiana,2013,4947,4269279,7034003,7040548,6408
Nicholls State University,Southland Conference,Louisiana,2012,4947,5010627,7552971,7598353,5679
Nicholls State University,Southland Conference,Louisiana,2011,4947,4683427,6838147,7643495,4737
Nicholls State University,Southland Conference,Louisiana,2010,4947,4396360,6769094,6922540,4292
Northwestern State University of Louisiana,Southland Conference,Louisiana,2014,5249,7624437,11621515,11996507,6807
Northwestern State University of Louisiana,Southland Conference,Louisiana,2013,5249,7700993,12478535,11899922,5552
Northwestern State University of Louisiana,Southland Conference,Louisiana,2012,5249,7458766,11362792,11424846,5480
Northwestern State University of Louisiana,Southland Conference,Louisiana,2011,5249,7262661,11076110,10905057,4972
Northwestern State University of Louisiana,Southland Conference,Louisiana,2010,5249,7115205,10451445,11002032,4384
Sam Houston State University,Southland Conference,Texas,2014,14132,10629147,14412775,14892104,8932
Sam Houston State University,Southland Conference,Texas,2013,14132,10063206,12977627,14853768,8594
Sam Houston State University,Southland Conference,Texas,2012,14132,9472986,12053990,13256761,8120
Sam Houston State University,Southland Conference,Texas,2011,14132,9047366,11451109,11878041,7328
Sam Houston State University,Southland Conference,Texas,2010,14132,8648645,10724938,11042824,7000
Stephen F Austin State University,Southland Conference,Texas,2014,9895,13364737,15924910,15697105,8892
Stephen F Austin State University,Southland Conference,Texas,2013,9895,11361162,13765069,13687377,8411
Stephen F Austin State University,Southland Conference,Texas,2012,9895,10844377,13169933,13363194,7928
Stephen F Austin State University,Southland Conference,Texas,2011,9895,12615058,15361616,15240918,7344
Stephen F Austin State University,Southland Conference,Texas,2010,9895,12642409,14972059,14877673,6997
Texas A & M University-Corpus Christi,Southland Conference,Texas,2014,7841,8600266,10272816,10540420,8287
Texas A & M University-Corpus Christi,Southland Conference,Texas,2013,7841,8175893,9930444,10037850,7778
Texas A & M University-Corpus Christi,Southland Conference,Texas,2012,7841,8314835,9276869,9848768,7641
Texas A & M University-Corpus Christi,Southland Conference,Texas,2011,7841,7541498,9327938,9314535,6718
Texas A & M University-Corpus Christi,Southland Conference,Texas,2010,7841,6817796,8432623,8496578,6459
Alcorn State University,Southwestern Athletic Conference,Mississippi,2014,2917,5329700,6601425,6340123,6192
Alcorn State University,Southwestern Athletic Conference,Mississippi,2013,2917,7585890,6110771,9026579,6096
Alcorn State University,Southwestern Athletic Conference,Mississippi,2012,2917,4744609,6525051,6560740,5712
Alcorn State University,Southwestern Athletic Conference,Mississippi,2011,2917,4413926,5916422,6360729,5247
Alcorn State University,Southwestern Athletic Conference,Mississippi,2010,2917,4091462,5979574,6157331,4848
University of Arkansas at Pine Bluff,Southwestern Athletic Conference,Arkansas,2014,2328,6037876,7816300,7785707,5956
University of Arkansas at Pine Bluff,Southwestern Athletic Conference,Arkansas,2013,2328,5568018,7401312,7176304,5754
University of Arkansas at Pine Bluff,Southwestern Athletic Conference,Arkansas,2012,2328,5497027,7547492,7547492,5517
University of Arkansas at Pine Bluff,Southwestern Athletic Conference,Arkansas,2011,2328,4589638,7460672,7460672,5330
University of Arkansas at Pine Bluff,Southwestern Athletic Conference,Arkansas,2010,2328,6728276,10109348,10109348,5033
Grambling State University,Southwestern Athletic Conference,Louisiana,2014,4325,2920597,7311320,5389368,6525
Grambling State University,Southwestern Athletic Conference,Louisiana,2013,4325,3674698,7934916,6346758,5950
Grambling State University,Southwestern Athletic Conference,Louisiana,2012,4325,2031254,7172692,5226503,5240
Grambling State University,Southwestern Athletic Conference,Louisiana,2011,4325,3066948,6591120,6591120,4886
Grambling State University,Southwestern Athletic Conference,Louisiana,2010,4325,3420901,5919450,5919450,4428
Mississippi Valley State University,Southwestern Athletic Conference,Mississippi,2014,1711,2172228,3952319,3952319,5916
Mississippi Valley State University,Southwestern Athletic Conference,Mississippi,2013,1711,2853221,4418164,4418164,5916
Mississippi Valley State University,Southwestern Athletic Conference,Mississippi,2012,1711,2788938,4788439,4788439,5628
Mississippi Valley State University,Southwestern Athletic Conference,Mississippi,2011,1711,2570659,4436714,4436714,5232
Mississippi Valley State University,Southwestern Athletic Conference,Mississippi,2010,1711,2867153,4663394,4663394,4781
Prairie View A & M University,Southwestern Athletic Conference,Texas,2014,6828,8272437,10541202,10761388,8638
Prairie View A & M University,Southwestern Athletic Conference,Texas,2013,6828,8311232,10667305,10544461,8098
Prairie View A & M University,Southwestern Athletic Conference,Texas,2012,6828,7623260,9689327,9704939,7738
Prairie View A & M University,Southwestern Athletic Conference,Texas,2011,6828,7684529,9982554,10088260,7401
Prairie View A & M University,Southwestern Athletic Conference,Texas,2010,6828,8572901,9273360,10709498,6856
Southern University and A & M College,Southwestern Athletic Conference,Louisiana,2014,5641,5071085,9237128,10153053,6534
Southern University and A & M College,Southwestern Athletic Conference,Louisiana,2013,5641,4799505,7774208,8865181,6534
Southern University and A & M College,Southwestern Athletic Conference,Louisiana,2012,5641,4720982,6755122,7873387,5126
Southern University and A & M College,Southwestern Athletic Conference,Louisiana,2011,5641,3761377,7556093,7213276,5074
Southern University and A & M College,Southwestern Athletic Conference,Louisiana,2010,5641,3195213,6489050,7463959,4584
Appalachian State University,Sun Belt Conference,North Carolina,2014,16021,10283987,19320283,19414754,6553
Appalachian State University,Sun Belt Conference,North Carolina,2013,16021,10468134,21636665,19998471,6356
Appalachian State University,Sun Belt Conference,North Carolina,2012,16021,10564650,17777551,19227539,5859
Appalachian State University,Sun Belt Conference,North Carolina,2011,16021,9427723,16394930,18829036,5538
Appalachian State University,Sun Belt Conference,North Carolina,2010,16021,9462138,17532462,17186254,5175
University of Arkansas at Little Rock,Sun Belt Conference,Arkansas,2014,6632,6195669,9151451,9584293,7934
University of Arkansas at Little Rock,Sun Belt Conference,Arkansas,2013,6632,6217057,9117435,9509024,7601
University of Arkansas at Little Rock,Sun Belt Conference,Arkansas,2012,6632,6639091,9648886,10000645,7344
University of Arkansas at Little Rock,Sun Belt Conference,Arkansas,2011,6632,6351389,9420914,9870519,7041
University of Arkansas at Little Rock,Sun Belt Conference,Arkansas,2010,6632,6629410,10170304,10313031,6643
Arkansas State University-Main Campus,Sun Belt Conference,Arkansas,2014,8384,10642341,20151793,20151793,7720
Arkansas State University-Main Campus,Sun Belt Conference,Arkansas,2013,8384,9428506,16464419,16464419,7510
Arkansas State University-Main Campus,Sun Belt Conference,Arkansas,2012,8384,9225149,15785899,15785899,7180
Arkansas State University-Main Campus,Sun Belt Conference,Arkansas,2011,8384,8243383,14188669,14188669,6934
Arkansas State University-Main Campus,Sun Belt Conference,Arkansas,2010,8384,4286887,14442698,10267860,6640
Georgia Southern University,Sun Belt Conference,Georgia,2014,16767,13550186,18109721,18929350,7190
Georgia Southern University,Sun Belt Conference,Georgia,2013,16767,8414390,13349437,13349437,7066
Georgia Southern University,Sun Belt Conference,Georgia,2012,16767,8025858,11689500,11689500,6724
