instnm,conference,state,year,full_time_enrollment,inflation_adjusted_subsidy,inflation_adjusted_athletic_expenses,inflation_adjusted_athletic_revenues,instate_tuition
University of Louisville,Atlantic Coast Conference,Kentucky,2012,16364,11131671,87125222,90586879,9662
University of Louisville,Atlantic Coast Conference,Kentucky,2011,16364,10673468,88883988,93077198,8930
University of Louisville,Atlantic Coast Conference,Kentucky,2010,16364,9253994,66356408,68771640,8424
Louisiana State University and Agricultural & Mechanical College,Southeastern Conference,Louisiana,2014,27172,0,127630312,133679256,8750
Louisiana State University and Agricultural & Mechanical College,Southeastern Conference,Louisiana,2013,27172,0,111235566,118780379,7880
Louisiana State University and Agricultural & Mechanical College,Southeastern Conference,Louisiana,2012,27172,0,110008926,118376685,6989
Louisiana State University and Agricultural & Mechanical College,Southeastern Conference,Louisiana,2011,27172,0,102168601,113788675,5870
Louisiana State University and Agricultural & Mechanical College,Southeastern Conference,Louisiana,2010,27172,0,110843731,120272219,5764
University of Maryland-College Park,Big Ten Conference,Maryland,2014,32199,18121113,72952894,73434869,9427
University of Maryland-College Park,Big Ten Conference,Maryland,2013,32199,15643523,64081673,64432117,9161
University of Maryland-College Park,Big Ten Conference,Maryland,2012,32199,17783229,70239122,70273175,8908
University of Maryland-College Park,Big Ten Conference,Maryland,2011,32199,16827205,65383796,65386798,8655
University of Maryland-College Park,Big Ten Conference,Maryland,2010,32199,14894216,59211673,59211673,8416
University of Michigan-Ann Arbor,Big Ten Conference,Michigan,2014,41152,256316,144861192,157899820,13486
University of Michigan-Ann Arbor,Big Ten Conference,Michigan,2013,41152,258714,133623356,145130595,13142
University of Michigan-Ann Arbor,Big Ten Conference,Michigan,2012,41152,266979,120507557,144512460,12994
University of Michigan-Ann Arbor,Big Ten Conference,Michigan,2011,41152,289283,120746632,130210689,12634
University of Michigan-Ann Arbor,Big Ten Conference,Michigan,2010,41152,252577,96552726,115769475,11837
Michigan State University,Big Ten Conference,Michigan,2014,43276,1094958,107897832,104677456,13200
Michigan State University,Big Ten Conference,Michigan,2013,43276,1792379,95279759,99045903,12908
Michigan State University,Big Ten Conference,Michigan,2012,43276,4338256,91344788,96883999,12623
Michigan State University,Big Ten Conference,Michigan,2011,43276,3872488,89621831,89654687,12203
Michigan State University,Big Ten Conference,Michigan,2010,43276,3627514,84668141,90499666,11190
University of Minnesota-Twin Cities,Big Ten Conference,Minnesota,2014,38767,7011066,106176156,106176156,13626
University of Minnesota-Twin Cities,Big Ten Conference,Minnesota,2013,38767,8192312,97513744,99393720,13618
University of Minnesota-Twin Cities,Big Ten Conference,Minnesota,2012,38767,7178707,86233933,86233933,13459
University of Minnesota-Twin Cities,Big Ten Conference,Minnesota,2011,38767,8252393,83729157,83729157,13022
University of Minnesota-Twin Cities,Big Ten Conference,Minnesota,2010,38767,8685994,85257910,85257910,12203
University of Mississippi,Southeastern Conference,Mississippi,2014,17612,3886423,75194231,75849000,7096
University of Mississippi,Southeastern Conference,Mississippi,2013,17612,3874755,74004201,74216678,6760
University of Mississippi,Southeastern Conference,Mississippi,2012,17612,2233944,53480391,53480391,6282
University of Mississippi,Southeastern Conference,Mississippi,2011,17612,3883770,52174738,52174738,5792
University of Mississippi,Southeastern Conference,Mississippi,2010,17612,3813538,49544806,49544806,5439
Mississippi State University,Southeastern Conference,Mississippi,2014,16951,2650000,55138802,62275111,7140
Mississippi State University,Southeastern Conference,Mississippi,2013,16951,3033790,58766771,63470967,6672
Mississippi State University,Southeastern Conference,Mississippi,2012,16951,4125062,71132735,72012116,6264
Mississippi State University,Southeastern Conference,Mississippi,2011,16951,5113045,55790039,62572235,5808
Mississippi State University,Southeastern Conference,Mississippi,2010,16951,5143808,39283646,41301064,5461
University of Missouri-Columbia,Southeastern Conference,Missouri,2014,30318,1515000,82409762,83718587,11021
University of Missouri-Columbia,Southeastern Conference,Missouri,2013,30318,1532064,73081491,77166371,10104
University of Missouri-Columbia,Southeastern Conference,Missouri,2012,30318,1996472,70558158,52305441,9257
University of Missouri-Columbia,Southeastern Conference,Missouri,2011,30318,2844884,69423632,68051396,8989
University of Missouri-Columbia,Southeastern Conference,Missouri,2010,30318,2911715,66907087,66133868,8501
Rutgers University-New Brunswick,Big Ten Conference,New Jersey,2014,40321,36340665,76656339,76656339,13813
Rutgers University-New Brunswick,Big Ten Conference,New Jersey,2013,40321,47526044,79879172,79879172,13499
Rutgers University-New Brunswick,Big Ten Conference,New Jersey,2012,40321,28871367,66040923,66040923,13073
Rutgers University-New Brunswick,Big Ten Conference,New Jersey,2011,40321,30208947,63854122,63854122,12754
Rutgers University-New Brunswick,Big Ten Conference,New Jersey,2010,40321,29103956,69547083,69547083,12582
University of North Carolina at Chapel Hill,Atlantic Coast Conference,North Carolina,2014,24390,9078593,83463221,83771913,8346
University of North Carolina at Chapel Hill,Atlantic Coast Conference,North Carolina,2013,24390,9258341,83667026,83724873,8340
University of North Carolina at Chapel Hill,Atlantic Coast Conference,North Carolina,2012,24390,9376351,84483109,85001472,7694
University of North Carolina at Chapel Hill,Atlantic Coast Conference,North Carolina,2011,24390,9366849,79755499,80208782,7008
University of North Carolina at Chapel Hill,Atlantic Coast Conference,North Carolina,2010,24390,9572965,78735152,78886883,5922
North Carolina State University at Raleigh,Atlantic Coast Conference,North Carolina,2014,26770,6708651,64924362,70500811,8296
North Carolina State University at Raleigh,Atlantic Coast Conference,North Carolina,2013,26770,6604897,64755783,68241718,8055
North Carolina State University at Raleigh,Atlantic Coast Conference,North Carolina,2012,26770,5596369,58093572,61626273,7788
North Carolina State University at Raleigh,Atlantic Coast Conference,North Carolina,2011,26770,1155181,53638396,54185575,7018
North Carolina State University at Raleigh,Atlantic Coast Conference,North Carolina,2010,26770,6549553,49699069,53575622,6529
University of Cincinnati-Main Campus,American Athletic Conference,Ohio,2014,25873,27118373,55433830,59100453,11000
University of Cincinnati-Main Campus,American Athletic Conference,Ohio,2013,25873,21999896,60210630,62612815,10784
University of Cincinnati-Main Campus,American Athletic Conference,Ohio,2012,25873,17026106,51427359,50420933,10784
University of Cincinnati-Main Campus,American Athletic Conference,Ohio,2011,25873,15604050,46348327,45325680,10419
University of Cincinnati-Main Campus,American Athletic Conference,Ohio,2010,25873,14577569,47097219,44326861,10065
Ohio State University-Main Campus,Big Ten Conference,Ohio,2014,50012,0,122571184,145232681,10037
Ohio State University-Main Campus,Big Ten Conference,Ohio,2013,50012,0,125705615,141212133,10037
Ohio State University-Main Campus,Big Ten Conference,Ohio,2012,50012,0,137927544,146484106,10037
Ohio State University-Main Campus,Big Ten Conference,Ohio,2011,50012,0,139389088,139839999,9735
Ohio State University-Main Campus,Big Ten Conference,Ohio,2010,50012,0,132955750,133426330,9420
Oklahoma State University-Main Campus,Big 12 Conference,Oklahoma,2014,19959,7521475,109648000,117803302,7442
Oklahoma State University-Main Campus,Big 12 Conference,Oklahoma,2013,19959,7419076,97639371,94719325,7442
Oklahoma State University-Main Campus,Big 12 Conference,Oklahoma,2012,19959,6481181,99808577,89999158,7622
Oklahoma State University-Main Campus,Big 12 Conference,Oklahoma,2011,19959,6563982,71011953,87662064,7418
Oklahoma State University-Main Campus,Big 12 Conference,Oklahoma,2010,19959,6123739,90718820,115214965,7090
University of Oklahoma-Norman Campus,Big 12 Conference,Oklahoma,2014,20627,0,116546776,129226692,9495
University of Oklahoma-Norman Campus,Big 12 Conference,Oklahoma,2013,20627,0,107538162,125200145,8915
University of Oklahoma-Norman Campus,Big 12 Conference,Oklahoma,2012,20627,0,101229814,109785037,8706
University of Oklahoma-Norman Campus,Big 12 Conference,Oklahoma,2011,20627,0,102134988,110690384,8325
University of Oklahoma-Norman Campus,Big 12 Conference,Oklahoma,2010,20627,0,94975917,106711759,7864
Oregon State University,Pacific-12 Conference,Oregon,2014,21958,12285453,73020003,63301794,9422
Oregon State University,Pacific-12 Conference,Oregon,2013,21958,12408447,64908013,66205368,8322
Oregon State University,Pacific-12 Conference,Oregon,2012,21958,19312941,60542336,60542336,8139
Oregon State University,Pacific-12 Conference,Oregon,2011,21958,17999439,57912415,58925210,7600
Oregon State University,Pacific-12 Conference,Oregon,2010,21958,11872901,57053823,60242210,7115
University of Oregon,Pacific-12 Conference,Oregon,2014,21920,2155099,110378432,196030398,9918
University of Oregon,Pacific-12 Conference,Oregon,2013,21920,2363704,96042432,116539087,9763
University of Oregon,Pacific-12 Conference,Oregon,2012,21920,2553269,92514159,97594667,9310
University of Oregon,Pacific-12 Conference,Oregon,2011,21920,2567162,80917267,91043901,8789
University of Oregon,Pacific-12 Conference,Oregon,2010,21920,2908634,84336438,132581741,8190
Clemson University,Atlantic Coast Conference,South Carolina,2014,18963,4375745,74718991,74793322,13546
Clemson University,Atlantic Coast Conference,South Carolina,2013,18963,3798970,68987370,69839271,13382
Clemson University,Atlantic Coast Conference,South Carolina,2012,18963,5482942,72190937,72190937,12774
Clemson University,Atlantic Coast Conference,South Carolina,2011,18963,5416849,64669467,64898952,12304
Clemson University,Atlantic Coast Conference,South Carolina,2010,18963,5220182,61506530,62354139,11908
University of South Carolina-Columbia,Southeastern Conference,South Carolina,2014,28022,5631976,98399092,98619479,11158
University of South Carolina-Columbia,Southeastern Conference,South Carolina,2013,28022,2566280,91130934,91503593,10816
University of South Carolina-Columbia,Southeastern Conference,South Carolina,2012,28022,2411375,89867570,90347472,10488
University of South Carolina-Columbia,Southeastern Conference,South Carolina,2011,28022,2385137,87990962,88915286,10168
University of South Carolina-Columbia,Southeastern Conference,South Carolina,2010,28022,2324935,84811759,86527777,9786
The University of Tennessee-Knoxville,Southeastern Conference,Tennessee,2013,26283,12574107,112810684,112836557,11194
The University of Tennessee-Knoxville,Southeastern Conference,Tennessee,2012,26283,1031266,110206768,106101016,9092
The University of Tennessee-Knoxville,Southeastern Conference,Tennessee,2011,26283,1060874,110702075,110722367,8456
The University of Tennessee-Knoxville,Southeastern Conference,Tennessee,2010,26283,14679995,120965298,125362119,7382
Texas A & M University-College Station,Southeastern Conference,Texas,2014,48780,1241457,95663484,119475871,9179
Texas A & M University-College Station,Southeastern Conference,Texas,2013,48780,597629,86073276,95016200,8506
Texas A & M University-College Station,Southeastern Conference,Texas,2012,48780,5362581,84349389,123444768,8506
Texas A & M University-College Station,Southeastern Conference,Texas,2011,48780,10456,83077910,92610635,8424
Texas A & M University-College Station,Southeastern Conference,Texas,2010,48780,0,82262799,89663671,8387
The University of Texas at Austin,Big 12 Conference,Texas,2014,47741,0,163850593,161035182,9798
The University of Texas at Austin,Big 12 Conference,Texas,2013,47741,0,157765853,167557751,9790
The University of Texas at Austin,Big 12 Conference,Texas,2012,47741,0,151137554,168400620,9792
The University of Texas at Austin,Big 12 Conference,Texas,2011,47741,0,151400723,159445065,9794
The University of Texas at Austin,Big 12 Conference,Texas,2010,47741,0,141293156,155503894,9418
Texas Tech University,Big 12 Conference,Texas,2014,28287,4086756,69659608,76723413,9308
Texas Tech University,Big 12 Conference,Texas,2013,28287,4055891,67043176,73739301,8942
Texas Tech University,Big 12 Conference,Texas,2012,28287,3871349,62233611,70052165,8942
Texas Tech University,Big 12 Conference,Texas,2011,28287,6140531,60438692,63159032,8765
Texas Tech University,Big 12 Conference,Texas,2010,28287,6399040,64280658,67132956,8260
University of Utah,Pacific-12 Conference,Utah,2014,23084,9862106,55051905,56470310,7935
University of Utah,Pacific-12 Conference,Utah,2013,23084,10354833,51982868,47383037,7457
University of Utah,Pacific-12 Conference,Utah,2012,23084,10294611,46957909,42115046,7139
University of Utah,Pacific-12 Conference,Utah,2011,23084,9952662,39089476,40410328,6763
University of Utah,Pacific-12 Conference,Utah,2010,23084,9249341,34384877,33452823,6274
Virginia Polytechnic Institute and State University,Atlantic Coast Conference,Virginia,2014,28425,8110828,69597779,73065186,12017
Virginia Polytechnic Institute and State University,Atlantic Coast Conference,Virginia,2013,28425,7977594,67331869,70819276,11455
Virginia Polytechnic Institute and State University,Atlantic Coast Conference,Virginia,2012,28425,7904864,69064680,72934971,10923
Virginia Polytechnic Institute and State University,Atlantic Coast Conference,Virginia,2011,28425,8053218,66405208,70982617,10509
Virginia Polytechnic Institute and State University,Atlantic Coast Conference,Virginia,2010,28425,7481404,60377926,68908202,9459
University of Virginia-Main Campus,Atlantic Coast Conference,Virginia,2014,21086,13235814,87426105,83697971,12998
University of Virginia-Main Campus,Atlantic Coast Conference,Virginia,2013,21086,13267123,85150195,85353379,12458
University of Virginia-Main Campus,Atlantic Coast Conference,Virginia,2012,21086,13541680,77796452,83362931,12006
University of Virginia-Main Campus,Atlantic Coast Conference,Virginia,2011,21086,13763037,76807652,83213915,11576
University of Virginia-Main Campus,Atlantic Coast Conference,Virginia,2010,21086,13172225,76769168,88653556,10628
