unitid,"instnm","chronname","conference","city","state","nickname",year,"url",full_time_enrollment,inflation_adjusted_ticket_sales,inflation_adjusted_student_fees,inflation_adjusted_direct_state_govt_support,inflation_adjusted_direct_institutional_support,inflation_adjusted_indirect_facil_admin_support,inflation_adjusted_ncaa_distributions,inflation_adjusted_royalties,inflation_adjusted_tv_revenue,inflation_adjusted_endowments,inflation_adjusted_athletic_revenues,inflation_adjusted_other_revenues,inflation_adjusted_athletic_expenses,inflation_adjusted_subsidy,inflation_adjusted_subsidyproportion,inflation_adjusted_institutional_subsidy,inflation_adjusted_institutionalsubsidy_proportion,inflation_adjusted_net_revenue,inflation_adjusted_net_revenue_before_subsidy,inflation_adjusted_external_revenue,ticket_sales,student_fees,direct_state_govt_support,direct_institutional_support,indirect_facil_admin_support,ncaa_distributions,royalties,tv_revenue,endowments,athletic_revenues,other_revenues,athletic_expenses,subsidy,subsidyproportion,institutional_subsidy,institutionalsubsidy_proportion,net_revenue,net_revenue_before_subsidy,external_revenue,instate_tuition
106397,"University of Arkansas","University of Arkansas at Fayetteville","Southeastern Conference","Fayetteville","Arkansas","Razorbacks and Razorback women",2012,"university-of-arkansas-fayetteville-fy2012.pdf",20379,39847292,0,0,2010122,0,22861116,10037442,1274371,277579,102876451,28120479,86193144,2010122,0.0195392,2010122,0.0195392,16683307,14673185,100866329,38639217,0,0,1949180,0,22168021,9733131,1235735,269163,99757482,27267933,83579973,1949180,0.0195392,1949180,0.0195392,16177509,14228329,97808302,7553
106397,"University of Arkansas","University of Arkansas at Fayetteville","Southeastern Conference","Fayetteville","Arkansas","Razorbacks and Razorback women",2011,"university-of-arkansas-fayetteville-fy2011.pdf",20379,38118854,0,0,1963148,0,23364854,8444812,1140440,333941,97354419,25462751,85381792,1963148,0.020165,1963148,0.020165,11972627,10009479,95391271,35931551,0,0,1850500,0,22024152,7960239,1075000,314779,91768112,24001670,80482488,1850500,0.020165,1850500,0.020165,11285624,9435124,89917612,7174
106397,"University of Arkansas","University of Arkansas at Fayetteville","Southeastern Conference","Fayetteville","Arkansas","Razorbacks and Razorback women",2010,"university-of-arkansas-fayetteville-fy2010.pdf",20379,35631913,0,0,1836051,0,22267350,6891955,1029071,347473,84570837,17943568,77778192,1836051,0.0217102,1836051,0.0217102,6792645,4956595,82734786,32894044,0,0,1694973,0,20556381,6362394,950000,320774,78072620,16564828,71801905,1694973,0.0217102,1694973,0.0217102,6270715,4575742,76377647,6768
110635,"University of California-Berkeley","University of California at Berkeley","Pacific-12 Conference","Berkeley","California","Golden Bears",2014,"university-of-california-berkeley-fy2014.pdf",34675,14219724,1444374,0,3537799,0,22593502,9468564,0,13358799,90262142,38998179,76446271,4982173,0.0551967,3537799,0.0391947,13815871,8833698,85279969,14219724,1444374,0,3537799,0,22593502,9468564,0,13358799,90262142,38998179,76446271,4982173,0.0551967,3537799,0.0391947,13815871,8833698,85279969,12972
110635,"University of California-Berkeley","University of California at Berkeley","Pacific-12 Conference","Berkeley","California","Golden Bears",2013,"university-of-california-berkeley-fy2013.pdf",34675,14720003,1462832,0,6189636,0,21699920,7050953,0,11616866,95551638,44428293,94054538,7652469,0.0800873,6189636,0.0647779,1497100,-6155369,87899169,14556051,1446539,0,6120696,0,21458225,6972419,0,11487477,94487380,43933450,93006955,7567235,0.0800873,6120696,0.0647779,1480425,-6086810,86920145,12864
110635,"University of California-Berkeley","University of California at Berkeley","Pacific-12 Conference","Berkeley","California","Golden Bears",2012,"university-of-california-berkeley-fy2012.pdf",34675,11474326,2523089,0,7292612,0,15756404,7429280,0,6068811,73408989,28933279,73267788,9815701,0.133713,7292612,0.0993422,141202,-9674499,63593289,11126452,2446595,0,7071517,0,15278707,7204042,0,5884819,71183404,28056091,71046483,9518112,0.133713,7071517,0.0993422,136921,-9381191,61665292,12874
110635,"University of California-Berkeley","University of California at Berkeley","Pacific-12 Conference","Berkeley","California","Golden Bears",2011,"university-of-california-berkeley-fy2011.pdf",34675,16924826,2395339,0,8750046,0,10800782,8945791,0,7691873,69214669,21397885,69022475,11145385,0.161026,8750046,0.126419,192194,-10953190,58069284,15953660,2257892,0,8247958,0,10181021,8432471,0,7250505,65243053,20170051,65061887,10505850,0.161026,8247958,0.126419,181166,-10324684,54737203,12835
110635,"University of California-Berkeley","University of California at Berkeley","Pacific-12 Conference","Berkeley","California","Golden Bears",2010,"university-of-california-berkeley-fy2010.pdf",34675,15539313,2325053,0,10780954,0,12328806,7546642,0,9022941,75117800,26597031,75117779,13106008,0.174473,10780954,0.143521,21,-13105987,62011792,14345310,2146402,0,9952572,0,11381491,6966776,0,8329640,69345931,24553380,69345912,12098974,0.174473,9952572,0.143521,19,-12098955,57246957,12462
110662,"University of California-Los Angeles","University of California at Los Angeles","Pacific-12 Conference","Los Angeles","California","Bruins",2014,"university-of-california-at-los-angeles-fy2014.pdf",39794,17807674,2651272,0,60000,0,8064339,11652329,17536463,3948351,86426780,46191166,86426780,2711272,0.0313707,60000,0.000694229,0,-2711272,83715508,17807674,2651272,0,60000,0,8064339,11652329,17536463,3948351,86426780,46191166,86426780,2711272,0.0313707,60000,0.000694229,0,-2711272,83715508,13029
110662,"University of California-Los Angeles","University of California at Los Angeles","Pacific-12 Conference","Los Angeles","California","Bruins",2013,"university-of-california-at-los-angeles-fy2013.pdf",39794,25225803,2596323,0,60676,0,6723742,9993496,16158341,1508540,84872028,40271988,84872028,2656999,0.0313059,60676,0.000714911,0,-2656999,82215029,24944837,2567405,0,60000,0,6648853,9882188,15978369,1491738,83926720,39823437,83926720,2627405,0.0313059,60000,0.000714909,0,-2627405,81299315,12696
110662,"University of California-Los Angeles","University of California at Los Angeles","Pacific-12 Conference","Los Angeles","California","Bruins",2012,"university-of-california-at-los-angeles-fy2012.pdf",39794,14947640,2800571,0,61876,0,7827962,11764276,8346584,1436907,73974507,36572182,73974507,2862447,0.038695,61876,0.00083645,0,-2862447,71112060,14494463,2715664,0,60000,0,7590637,11407611,8093535,1393343,71731776,35463401,71731776,2775664,0.038695,60000,0.000836449,0,-2775664,68956112,12692
110662,"University of California-Los Angeles","University of California at Los Angeles","Pacific-12 Conference","Los Angeles","California","Bruins",2011,"university-of-california-at-los-angeles-fy2011.pdf",39794,21269188,2681295,0,63652,0,6794944,9649235,6620415,1548691,70021825,29563511,70021825,2744947,0.0392013,63652,0.00090903,0,-2744947,67276878,20048738,2527439,0,60000,0,6405042,9095551,6240528,1459825,66003893,27867123,66003893,2587439,0.0392013,60000,0.000909037,0,-2587439,63416454,12686
110662,"University of California-Los Angeles","University of California at Los Angeles","Pacific-12 Conference","Los Angeles","California","Bruins",2010,"university-of-california-at-los-angeles-fy2010.pdf",39794,20938286,2979412,0,64994,0,6570873,9784342,5414652,2044858,67025616,26687709,67025616,3044406,0.0454215,64994,0.000969688,0,-3044406,63981210,19329439,2750481,0,60000,0,6065983,9032537,4998603,1887736,61875531,24637091,61875531,2810481,0.0454215,60000,0.000969688,0,-2810481,59065050,10781
126614,"University of Colorado Boulder","University of Colorado at Boulder","Pacific-12 Conference","Boulder","Colorado","Buffaloes",2014,"university-of-colorado-boulder-fy2014.pdf",26242,12062260,1519708,0,8931483,1758282,21461121,3996973,0,609286,64226758,14496931,64303100,12209473,0.190099,10689765,0.166438,-76342,-12285815,52017285,12062260,1519708,0,8931483,1758282,21461121,3996973,0,609286,64226758,14496931,64303100,12209473,0.190099,10689765,0.166438,-76342,-12285815,52017285,10789
