no_id,gen_id,vial_id,genvial_id,diet_group,lineage,F2_diet,F1_diet,F0_diet,sex,mass_mg,dev_L1-LP,dev_LP-A,dev_L1-A,ovar_no,wing_length
1802,F2,5,F2-5,RPP,R,poor,poor,rich,f,1.4,6.5,4,10.5,35,2.012
1561,F2,4,F2-4,RPR,R,rich,poor,rich,f,1.2,3.5,5,8.5,40,2.012
1823,F2,2,F2-2,PRR,P,rich,rich,poor,f,1.3,4.5,3,7.5,41,2.012
2102,F2,6,F2-6,PPS,P,std,poor,poor,f,1.5,5.5,4,9.5,,2.012
1602,F2,4,F2-4,RSS,R,std,std,rich,f,1.3,5.5,4,9.5,,2.012
2036,F2,1,F2-1,PPS,P,std,poor,poor,f,1.3,5.5,3,8.5,44,2.013
1673,F2,8,F2-8,RRP,R,poor,rich,rich,f,1.4,4.5,4,8.5,,2.013
1759,F2,9,F2-9,RSS,R,std,std,rich,f,1.6,5.5,4,9.5,34,2.014
2154,F2,1,F2-1,PPP,P,poor,poor,poor,f,1.4,7.5,4,11.5,,2.014
1992,F2,5,F2-5,PSS,P,std,std,poor,f,1.5,5.5,5,10.5,,2.014
1445,F2,2,F2-2,RRS,R,std,rich,rich,f,1.5,5.5,4,9.5,,2.014
1915,F2,3,F2-3,PSS,P,std,std,poor,f,1.2,5.5,4,9.5,36,2.015
2038,F2,1,F2-1,PPS,P,std,poor,poor,f,1.6,5.5,4,9.5,38,2.015
1769,F2,5,F2-5,RPP,R,poor,poor,rich,f,1.6,4.5,4,8.5,38,2.015
1513,F2,4,F2-4,SSS,S,std,std,std,f,1.5,5.5,4,9.5,41,2.015
1419,F2,2,F2-2,RSR,R,rich,std,rich,f,1.6,4.5,3,7.5,46,2.015
1910,F2,2,F2-2,PSS,P,std,std,poor,f,1.3,5.5,4,9.5,,2.016
1922,F2,4,F2-4,PSS,P,std,std,poor,f,1.5,5.5,4,9.5,,2.016
1497,F2,1,F2-1,SSS,S,std,std,std,f,1.4,5.5,4,9.5,,2.016
2061,F2,7,F2-7,PPS,P,std,poor,poor,f,1.4,4.5,4,8.5,33,2.017
1578,F2,4,F2-4,RRS,R,std,rich,rich,f,1.6,5.5,4,9.5,34,2.017
2031,F2,8,F2-8,PSP,P,poor,std,poor,f,1.3,4.5,4,8.5,35,2.017
1789,F2,8,F2-8,RPR,R,rich,poor,rich,f,1.5,4.5,4,8.5,37,2.017
1690,F2,7,F2-7,RSS,R,std,std,rich,f,1.5,5.5,4,9.5,41,2.017
2052,F2,3,F2-3,PPS,P,std,poor,poor,f,1.4,5.5,3,8.5,,2.017
1914,F2,3,F2-3,PSS,P,std,std,poor,f,1.6,5.5,5,10.5,,2.017
1469,F2,4,F2-4,RSR,R,rich,std,rich,f,1.9,4.5,4,8.5,,2.017
1942,F2,5,F2-5,PPR,P,rich,poor,poor,f,1.2,4.5,4,8.5,39,2.018
2037,F2,1,F2-1,PPS,P,std,poor,poor,f,1.5,5.5,4,9.5,44,2.018
2062,F2,7,F2-7,PPS,P,std,poor,poor,f,1.3,4.5,4,8.5,,2.019
1771,F2,5,F2-5,RPP,R,poor,poor,rich,f,1.4,4.5,4,8.5,32,2.02
1908,F2,2,F2-2,PSS,P,std,std,poor,f,1.5,5.5,4,9.5,41,2.02
1909,F2,2,F2-2,PSS,P,std,std,poor,f,1.4,5.5,5,10.5,,2.02
1703,F2,7,F2-7,RPR,R,rich,poor,rich,f,1.5,2.5,3,5.5,37,2.021
1930,F2,3,F2-3,PSP,P,poor,std,poor,f,1.4,5.5,5,10.5,40,2.021
1938,F2,4,F2-4,PPR,P,rich,poor,poor,f,1.3,4.5,3,7.5,,2.021
1888,F2,6,F2-6,PRR,P,rich,rich,poor,f,1.6,4.5,4,8.5,,2.021
2034,F2,8,F2-8,PSP,P,poor,std,poor,f,1.5,4.5,4,8.5,,2.021
1949,F2,6,F2-6,PPR,P,rich,poor,poor,f,1.5,4.5,4,8.5,42,2.022
2168,F2,5,F2-5,PPP,P,poor,poor,poor,f,1.3,6.5,4,10.5,,2.022
1609,F2,5,F2-5,RSS,R,std,std,rich,f,1.3,5.5,4,9.5,34,2.023
1644,F2,5,F2-5,RRS,R,std,rich,rich,f,1.4,5.5,3,8.5,43,2.023
1648,F2,6,F2-6,RRS,R,std,rich,rich,f,1.6,5.5,4,9.5,,2.023
